Date,Val,Open,High,Low,Close,Adj Close,Volume,N. D. C.,Five Out,Thirty Out
10/16/2015,200,134.7299957,135,132.9600067,133.8099976,133.8099976,3061800,133.6199951,137.7799988,134.0899963
10/19/2015,201,133.5,133.8899994,133.1100006,133.6199951,133.6199951,2158800,134.1600037,137,136.4299927
10/20/2015,202,133.2700043,134.3999939,133.1000061,134.1600037,134.1600037,2118000,133.2200012,135.6300049,135.2700043
10/21/2015,203,134.7100067,135.4100037,133.1100006,133.2200012,133.2200012,2396800,137.2899933,138.1600037,132.6600037
10/22/2015,204,133.6000061,137.6999969,133.6000061,137.2899933,137.2899933,4898300,137.7799988,137.8899994,136.4799957
10/23/2015,205,138,138,136.7599945,137.7799988,137.7799988,3172900,137,136.0200043,135.6000061
10/26/2015,206,137.8600006,137.9400024,136.6399994,137,137,2173300,135.6300049,138.3999939,133.3600006
10/27/2015,207,136.3999939,136.6699982,135.0700073,135.6300049,135.6300049,2278300,138.1600037,137.9400024,131.7100067
10/28/2015,208,135.8000031,138.4100037,135.4799957,138.1600037,138.1600037,3244800,137.8899994,137.4299927,131.7100067
10/29/2015,209,138.1000061,138.5,137.2299957,137.8899994,137.8899994,2089100,136.0200043,136.5700073,130.3099976
10/30/2015,210,137.5599976,137.8699951,136.0200043,136.0200043,136.0200043,4228200,138.3999939,136.3300018,132.0200043
11/2/2015,211,136.7700043,138.6199951,136.3300018,138.3999939,138.3999939,3259300,137.9400024,134,134.8800049
11/3/2015,212,138.3000031,138.4799957,137.7100067,137.9400024,137.9400024,2617800,137.4299927,134.7299957,135.8800049
11/4/2015,213,138,138.0800018,137.0599976,137.4299927,137.4299927,2606300,136.5700073,134.9600067,133.9700012
11/5/2015,214,137.4799957,138.0299988,136.3200073,136.5700073,136.5700073,2461500,136.3300018,132.7799988,129.5299988
11/6/2015,215,136.4400024,137.1900024,135.1399994,136.3300018,136.3300018,3732200,134,131.9600067,131.1900024
11/9/2015,216,136,136.1900024,133.3999939,134,134,4884600,134.7299957,133.3000031,133.1399994
11/10/2015,217,134,134.7299957,133.6399994,134.7299957,134.7299957,2932500,134.9600067,133.0899963,134.1499939
11/11/2015,218,134.9400024,135.1999969,134.1199951,134.9600067,134.9600067,2056700,132.7799988,136.2200012,133.8899994
11/12/2015,219,134.4600067,134.6300049,132.7700043,132.7799988,132.7799988,3789800,131.9600067,136.6300049,133.1199951
11/13/2015,220,132.6100006,133.5700073,131.7400055,131.9600067,131.9600067,3589400,133.3000031,136.6300049,134.1399994
11/16/2015,221,131.8200073,133.3099976,131.4700012,133.3000031,133.3000031,2965600,133.0899963,135.9900055,133.2599945
11/17/2015,222,133.8500061,133.9299927,132.6799927,133.0899963,133.0899963,2882800,136.2200012,135.5399933,132.0399933
11/18/2015,223,133.4700012,136.3800049,133.2700043,136.2200012,136.2200012,3773000,136.6300049,135.1300049,130.75
11/19/2015,224,136.1900024,136.8699951,135.8300018,136.6300049,136.6300049,2755700,136.6300049,134.6300049,131.25
11/20/2015,225,137.3399963,137.4199982,135.9600067,136.6300049,136.6300049,2921300,135.9900055,134.0899963,131.3300018
11/23/2015,226,136.2899933,136.7799988,135.8399963,135.9900055,135.9900055,2469500,135.5399933,136.4299927,129.4799957
11/24/2015,227,135.0899963,135.8800049,134.1199951,135.5399933,135.5399933,2759500,135.1300049,135.2700043,128.3300018
11/25/2015,228,135.4799957,136,134.8399963,135.1300049,135.1300049,2137400,134.6300049,132.6600037,128.3600006
11/27/2015,229,135.3000031,135.5800018,134.4499969,134.6300049,134.6300049,1243000,134.0899963,136.4799957,128.8000031
11/30/2015,230,134.8200073,135.0899963,133.8200073,134.0899963,134.0899963,5087800,136.4299927,135.6000061,126.25
12/1/2015,231,134.8600006,136.5700073,134.3600006,136.4299927,136.4299927,3796900,135.2700043,133.3600006,128.0700073
12/2/2015,232,136.5,136.7400055,135.1000061,135.2700043,135.2700043,3710800,132.6600037,131.7100067,126.1399994
